date,sum_open_interest,sum_open_interest_value
2023-07-18,107184.04511805555,3208375376.1652207
2023-07-19,105671.11363194445,3167014291.8719587
2023-07-20,106922.48044097221,3205345119.5129194
2023-07-21,108588.96277083334,3240513993.1139627
2023-07-22,106632.97623263889,3184650741.535005
2023-07-23,103319.83909027778,3092448329.2180033
2023-07-24,107838.44893055555,3171579315.920128
2023-07-25,110562.90699652777,3224783119.0925884
2023-07-26,106444.21429166666,3115703463.790986
2023-07-27,110449.83342361111,3241017378.8901515
2023-07-28,109330.92850694444,3198788706.717539
2023-07-29,108377.10853124999,3177181823.911579
2023-07-30,108310.04870486111,3172550712.297525
2023-07-31,108811.11160416667,3190599825.2889814
2023-08-01,110574.67328819445,3207890104.255454
2023-08-02,113146.9077673611,3330863926.1606936
2023-08-03,112975.61720138889,3297143065.5276423
2023-08-04,112717.41223958334,3286942498.6074343
2023-08-05,113866.49412152778,3308590190.451105
2023-08-06,111348.48558333334,3236227628.303354
2023-08-07,111559.69063541667,3244639036.4454327
2023-08-08,116581.06042013889,3435395679.0022597
2023-08-09,123648.74236458333,3673634701.117921
2023-08-10,118564.81525000001,3498559454.5539007
2023-08-11,118473.64365972222,3484161613.7481256
2023-08-12,117531.81293750001,3456803933.2141685
2023-08-13,115874.77585763889,3405161715.595872
2023-08-14,109949.30633680556,3232860773.535147
2023-08-15,110059.12302083333,3228921655.7239428
2023-08-16,116016.74617708333,3378801966.4691978
2023-08-17,116927.01790277779,3298275920.0626698
2023-08-18,100933.27935763888,2654804485.0505314
2023-08-19,91695.4504375,2383588501.764884
2023-08-20,88890.63018749999,2321202801.6177573
2023-08-21,90950.09894444444,2369962866.1785727
2023-08-22,90613.19492708333,2353705164.0045323
2023-08-23,86404.47874652778,2260738373.330707
2023-08-24,85102.30527430556,2236553229.9636917
2023-08-25,85918.33204166667,2237622588.5219135
2023-08-26,84462.73557291666,2198809500.459477
2023-08-27,86351.27069097222,2250327506.2288003
2023-08-28,87715.60926041666,2282985794.385661
2023-08-29,89641.42445138888,2395225492.41492
2023-08-30,90376.03736111111,2471566420.760391
2023-08-31,87368.00140625,2348723781.473202
2023-09-01,83795.62498611111,2169853824.335263
2023-09-02,82782.32985416666,2136872848.3497064
2023-09-03,81258.30881944444,2104760476.706421
2023-09-04,81310.68575,2105090487.168038
2023-09-05,83351.82018055556,2144531120.8767385
2023-09-06,84561.87252083333,2174700692.4214816
2023-09-07,84255.92211805556,2175915878.607165
2023-09-08,84352.46142013889,2194324001.7894974
2023-09-09,83603.50197222222,2162179819.685011
2023-09-10,82744.43917013888,2135591373.5370996
2023-09-11,85456.0168125,2177541138.3022885
2023-09-12,87958.32148421052,2274853705.5037904
2023-09-13,88622.70676388888,2311048518.8668113
2023-09-14,89865.79498263888,2374990511.209688
2023-09-15,90263.15881944443,2391062016.961486
2023-09-16,87556.72384375,2324126406.8802795
2023-09-17,86377.500375,2290130908.511248
2023-09-18,90548.78453472222,2431599071.288192
2023-09-19,92078.53316666668,2489272710.6173844
2023-09-20,91467.44649652777,2479509403.160864
2023-09-21,92847.1265625,2485007965.102691
2023-09-22,92784.28014236112,2467926302.324988
2023-09-23,91585.37847569444,2432709766.808586
2023-09-24,91501.7700798611,2428896501.9753985
2023-09-25,91491.55178472222,2396145547.441536
2023-09-26,90992.82537847222,2387088712.5638585
2023-09-27,91508.94498958334,2408569789.248555
2023-09-28,90471.55897222222,2413647735.0156226
2023-09-29,90472.77444444444,2437784008.5132093
2023-09-30,89269.87817013888,2406214986.2417164
2023-10-01,91791.94964930556,2492344769.382013
2023-10-02,91708.14127777779,2571270537.7622747
2023-10-03,89482.76747569445,2458309946.0929003
2023-10-04,88414.38773611112,2431869561.3739944
2023-10-05,91575.12312152778,2529396953.0296125
2023-10-06,92454.39003472222,2560628086.1776066
2023-10-07,91756.56852777778,2561400320.34182
2023-10-08,92110.85365972221,2570295788.0708766
2023-10-09,92123.49822569445,2548356746.2776937
2023-10-10,91919.97430208333,2528733575.663198
2023-10-11,97241.72455208334,2625754949.487886
2023-10-12,97378.24203125,2605379202.2258463
2023-10-13,97101.90855902777,2602981845.2295723
2023-10-14,98492.31064583332,2646467242.503451
2023-10-15,97971.67833680556,2637931805.7313204
2023-10-16,93964.73066319445,2619452930.31001
2023-10-17,89890.83602083333,2550554421.5904365
2023-10-18,89238.65926041667,2533332340.7582126
2023-10-19,90116.15106250001,2565549941.893538
2023-10-20,94438.44265625,2777938069.4949093
2023-10-21,93761.74888888889,2792588112.41674
2023-10-22,94496.19870138889,2825248264.3284497
2023-10-23,97088.2938611111,2998480125.635559
2023-10-24,85297.92454166667,2908154030.3423758
2023-10-25,85141.18784722223,2923191579.357043
2023-10-26,84746.78727083333,2909723831.3109183
2023-10-27,85322.73033333333,2898551076.0164165
2023-10-28,85043.3822638889,2899336248.401023
2023-10-29,87193.15894791666,2992255718.2816043
2023-10-30,87049.50627083334,2998604334.062933
2023-10-31,87092.39255902778,2995918235.7847004
2023-11-01,86975.24495138889,3009500863.0968757
2023-11-02,85276.53337152778,2998546534.3604503
2023-11-03,82933.32029861111,2863388229.01319
2023-11-04,83195.60501736111,2891703530.223847
2023-11-05,86144.55716666667,3019349669.5844326
2023-11-06,87037.48542708333,3047348334.916265
2023-11-07,89183.65580208333,3118954297.424629
2023-11-08,88490.48248263888,3132993475.1677914
