run_id,horizon,window_type,model_name,regime,n_samples,directional_accuracy,net_return,sharpe,max_drawdown,reliability_label
spx_research_20260507T144238Z,30,official_monthly,random_permutation,pre_halving,24,0.7083333333333334,0.6027060373041264,1.9346811670095934,-0.06248061964425067,Low confidence
spx_research_20260507T144238Z,30,official_monthly,random_permutation,post_halving,24,0.5,0.3288513708282095,1.3767383680798035,-0.06335661138680104,Low confidence
spx_research_20260507T144238Z,30,official_monthly,random_permutation,pre_etf,72,0.4861111111111111,0.4457608709939842,0.49813549490694453,-0.21227749720178624,Low confidence
spx_research_20260507T144238Z,30,official_monthly,random_permutation,post_etf,27,0.6666666666666666,0.5432496105370759,2.168835817645894,-0.010660509718443678,Low confidence
spx_research_20260507T144238Z,90,official_quarterly,buy_hold_direction,bull_market,25,0.72,0.6647947968539953,0.568783863987225,-0.1932591090042719,Low confidence
spx_research_20260507T144238Z,90,official_quarterly,buy_hold_direction,bear_market,7,0.8571428571428571,0.7557703733736192,2.6168740965310167,-0.013778557893870502,Low confidence
spx_research_20260507T144238Z,90,official_quarterly,buy_hold_direction,high_volatility,20,0.85,1.9486103486890243,1.6304082433694422,-0.20437483507620924,Low confidence
spx_research_20260507T144238Z,90,official_quarterly,buy_hold_direction,low_volatility,12,0.5833333333333334,-0.008686453480574285,0.07707950381816853,-0.1822889458583814,Low confidence
spx_research_20260507T144238Z,90,official_quarterly,buy_hold_direction,high_rate,21,0.7142857142857143,0.8009134723392222,0.807647306037692,-0.1658849042872481,Low confidence
spx_research_20260507T144238Z,90,official_quarterly,buy_hold_direction,low_rate,11,0.8181818181818182,0.6230637545656716,1.0046618129907694,-0.1822889458583814,Low confidence
spx_research_20260507T144238Z,90,official_quarterly,buy_hold_direction,pre_halving,8,0.75,0.3405731027815466,0.7629506217804867,-0.1822889458583814,Low confidence
spx_research_20260507T144238Z,90,official_quarterly,buy_hold_direction,post_halving,8,0.875,0.6144208278196424,2.5508243651549876,-0.042668732093302575,Low confidence
spx_research_20260507T144238Z,90,official_quarterly,buy_hold_direction,pre_etf,24,0.75,1.2758172540353097,0.8374281492971769,-0.20437483507620902,Low confidence
spx_research_20260507T144238Z,90,official_quarterly,buy_hold_direction,post_etf,8,0.75,0.2843726256490744,1.2734911579475492,-0.04370584558740387,Low confidence
spx_research_20260507T144238Z,90,official_quarterly,hgb,bull_market,25,0.76,0.7864283286720295,0.6982297339084556,-0.1932591090042719,Medium confidence
spx_research_20260507T144238Z,90,official_quarterly,hgb,bear_market,7,0.8571428571428571,0.6504370621942379,2.1589798184032474,-0.0010000000000000009,Medium confidence
spx_research_20260507T144238Z,90,official_quarterly,hgb,high_volatility,20,0.85,1.7691349780535917,1.5292285717550007,-0.19406584989526765,Medium confidence
spx_research_20260507T144238Z,90,official_quarterly,hgb,low_volatility,12,0.6666666666666666,0.0647323247010625,0.20969470384520542,-0.1822889458583814,Medium confidence
spx_research_20260507T144238Z,90,official_quarterly,hgb,high_rate,21,0.7619047619047619,0.8165568138036632,0.9726179799839978,-0.1550772016906039,Medium confidence
spx_research_20260507T144238Z,90,official_quarterly,hgb,low_rate,11,0.8181818181818182,0.6230637545656716,1.0046618129907694,-0.1822889458583814,Medium confidence
spx_research_20260507T144238Z,90,official_quarterly,hgb,pre_halving,8,0.75,0.23544050227649982,0.5941976580828432,-0.1822889458583814,Medium confidence
spx_research_20260507T144238Z,90,official_quarterly,hgb,post_halving,8,0.875,0.6144208278196424,2.5508243651549876,-0.042668732093302575,Medium confidence
spx_research_20260507T144238Z,90,official_quarterly,hgb,pre_etf,24,0.7916666666666666,1.2955857698259634,0.9241097327682491,-0.19406584989526765,Medium confidence
spx_research_20260507T144238Z,90,official_quarterly,hgb,post_etf,8,0.75,0.2843726256490744,1.2734911579475492,-0.04370584558740387,Medium confidence
spx_research_20260507T144238Z,90,official_quarterly,logistic_linear,bull_market,25,0.68,0.6009868916525984,0.5777973149765417,-0.1932591090042719,Low confidence
spx_research_20260507T144238Z,90,official_quarterly,logistic_linear,bear_market,7,0.8571428571428571,0.7542237942309373,2.617559875298411,-0.013778557893870391,Low confidence
spx_research_20260507T144238Z,90,official_quarterly,logistic_linear,high_volatility,20,0.8,1.6920060030724184,1.4839596882208745,-0.20437483507620902,Low confidence
spx_research_20260507T144238Z,90,official_quarterly,logistic_linear,low_volatility,12,0.5833333333333334,0.04327007309175945,0.16494564294028943,-0.1832889458583814,Low confidence
spx_research_20260507T144238Z,90,official_quarterly,logistic_linear,high_rate,21,0.7142857142857143,0.895951709273245,1.0023224817412755,-0.1658849042872481,Low confidence
spx_research_20260507T144238Z,90,official_quarterly,logistic_linear,low_rate,11,0.7272727272727273,0.48130845625037755,0.8279379758397845,-0.184105656912523,Low confidence
spx_research_20260507T144238Z,90,official_quarterly,logistic_linear,pre_halving,8,0.5,0.10616395583207794,0.3305047725818528,-0.184105656912523,Low confidence
spx_research_20260507T144238Z,90,official_quarterly,logistic_linear,post_halving,8,0.875,0.6144208278196424,2.5508243651549876,-0.042668732093302575,Low confidence
