run_id,horizon,window_type,feature_group,model_name,n_features,n_samples,directional_accuracy,balanced_accuracy,brier_score,calibration_error,sharpe,max_drawdown,net_return,beats_buy_hold,beats_momentum,reliability_label
spx_research_20260511T075454Z,30,official_monthly,derivatives_only,logistic_linear,0,0,,,,,,,,False,False,Low confidence
spx_research_20260511T075454Z,30,official_monthly,derivatives_only,hgb,0,0,,,,,,,,False,False,Low confidence
spx_research_20260511T075454Z,30,official_monthly,derivatives_only,random_forest,0,0,,,,,,,,False,False,Low confidence
spx_research_20260511T075454Z,30,official_monthly,prediction_markets_only,buy_hold_direction,0,99,0.6767676767676768,0.5,0.3168676767676768,0.3132323232323231,0.8771803606234625,-0.2286959817450296,1.988978789949468,False,True,Low confidence
spx_research_20260511T075454Z,30,official_monthly,prediction_markets_only,momentum_30d,0,99,0.5757575757575758,0.5151585820895522,0.24484848484848484,0.14141414141414155,0.5689946891115607,-0.31741157760765115,0.6120410222915575,False,False,Low confidence
spx_research_20260511T075454Z,30,official_monthly,prediction_markets_only,momentum_90d,0,99,0.5757575757575758,0.5069962686567164,0.24484848484848487,0.13737373737373748,0.7500194835872531,-0.13369693941996041,0.9055142452432181,False,False,Low confidence
spx_research_20260511T075454Z,30,official_monthly,prediction_markets_only,random_permutation,0,99,0.5353535353535354,0.509794776119403,0.24933767372810112,0.17004713476494582,0.802706961300977,-0.21227793615865598,1.2311672742501067,False,False,Low confidence
spx_research_20260511T075454Z,30,official_monthly,prediction_markets_only,logistic_linear,0,0,,,,,,,,False,False,Low confidence
spx_research_20260511T075454Z,30,official_monthly,prediction_markets_only,hgb,0,0,,,,,,,,False,False,Low confidence
spx_research_20260511T075454Z,30,official_monthly,prediction_markets_only,random_forest,0,0,,,,,,,,False,False,Low confidence
spx_research_20260511T075454Z,30,official_monthly,all_features,buy_hold_direction,0,99,0.6767676767676768,0.5,0.3168676767676768,0.3132323232323231,0.8771803606234625,-0.2286959817450296,1.988978789949468,False,True,Low confidence
spx_research_20260511T075454Z,30,official_monthly,all_features,momentum_30d,0,99,0.5757575757575758,0.5151585820895522,0.24484848484848484,0.14141414141414155,0.5689946891115607,-0.31741157760765115,0.6120410222915575,False,False,Low confidence
spx_research_20260511T075454Z,30,official_monthly,all_features,momentum_90d,0,99,0.5757575757575758,0.5069962686567164,0.24484848484848487,0.13737373737373748,0.7500194835872531,-0.13369693941996041,0.9055142452432181,False,False,Low confidence
spx_research_20260511T075454Z,30,official_monthly,all_features,random_permutation,0,99,0.5353535353535354,0.509794776119403,0.24933767372810112,0.17004713476494582,0.802706961300977,-0.21227793615865598,1.2311672742501067,False,False,Low confidence
spx_research_20260511T075454Z,30,official_monthly,all_features,logistic_linear,144,99,0.6464646464646465,0.4939365671641791,0.22984376934630915,0.1273402015204995,0.8970956006589869,-0.22869598174502992,1.9823714807002504,False,True,Low confidence
spx_research_20260511T075454Z,30,official_monthly,all_features,hgb,144,99,0.5959595959595959,0.48111007462686567,0.22319116427106692,0.1031277167798861,0.7799710364087228,-0.26961387759653566,1.4332930953671092,False,True,Low confidence
spx_research_20260511T075454Z,30,official_monthly,all_features,random_forest,144,99,0.6363636363636364,0.5191231343283582,0.2304992145345854,0.10542919198735859,0.886124405139142,-0.2294672857632849,1.827227712075762,False,True,Low confidence
spx_research_20260511T075454Z,90,official_quarterly,price_momentum_only,buy_hold_direction,0,32,0.75,0.5,0.24509999999999998,0.24,0.8923525521251858,-0.20437469868266778,1.922999047326325,False,True,Low confidence
spx_research_20260511T075454Z,90,official_quarterly,price_momentum_only,momentum_30d,0,32,0.53125,0.4375,0.25375000000000003,0.21875,0.2634112764796572,-0.1957158618606104,0.23428616260828528,False,False,Low confidence
spx_research_20260511T075454Z,90,official_quarterly,price_momentum_only,momentum_90d,0,32,0.59375,0.4791666666666667,0.24125000000000002,0.20625000000000004,0.5638829661281073,-0.19343975822276638,0.6755853820261211,False,False,Low confidence
spx_research_20260511T075454Z,90,official_quarterly,price_momentum_only,random_permutation,0,32,0.46875,0.3958333333333333,0.25962057088973334,0.2483793696555497,0.7651225033347808,-0.14554041694687858,1.0513204990710738,False,False,Low confidence
spx_research_20260511T075454Z,90,official_quarterly,price_momentum_only,logistic_linear,34,32,0.75,0.625,0.1977703392801181,0.14094185773773077,1.2643990545142405,-0.20437469868266778,2.417793911878084,False,True,Low confidence
spx_research_20260511T075454Z,90,official_quarterly,price_momentum_only,hgb,34,32,0.75,0.5833333333333333,0.22595832936202215,0.15427510167739333,0.9662467250249852,-0.20437469868266778,1.9202440786207693,False,True,Low confidence
spx_research_20260511T075454Z,90,official_quarterly,price_momentum_only,random_forest,34,32,0.71875,0.6041666666666667,0.1852561773298525,0.14502034013781423,0.9186683247674796,-0.1822885357097428,1.7475152663742084,False,True,Low confidence
