run_id,generated_at,horizon,window_type,is_official,model,rank,test_start,test_end,sample_count,directional_accuracy,balanced_accuracy,brier_score,calibration_error,mae,rmse,sharpe,max_drawdown,num_trades,turnover,tc_adjusted_return,beats_buy_hold_direction,beats_momentum_30d,beats_momentum_90d,beats_random_baseline,useful_model,reliability_label,selection_eligible,notes
btc_research_20260504T051147Z,2026-05-04T05:11:47+00:00,90,sensitivity_overlapping_monthly,False,hgb,2,2017-12-31,2026-01-31,98,0.5816326530612245,0.5746331236897274,0.2513388972271871,0.17459302085235764,0.29628616822175696,0.38449528767086966,0.9998506093356511,-0.6761677816581871,13,0.1326530612244898,259.7655320961955,True,True,True,True,False,Low confidence,False,does not beat baselines after transaction costs; weak probability calibration
btc_research_20260504T051147Z,2026-05-04T05:11:47+00:00,90,sensitivity_overlapping_monthly,False,momentum_90d,3,2017-12-31,2026-01-31,98,0.5612244897959183,0.5574423480083857,0.24775510204081633,0.03061224489795933,0.39714872892101855,0.5107850573039043,0.9335009225502424,-0.8305811439722944,22,0.22448979591836735,217.07069174183013,True,False,False,True,False,Low confidence,False,baseline
btc_research_20260504T051147Z,2026-05-04T05:11:47+00:00,90,sensitivity_overlapping_monthly,False,momentum_30d,4,2017-12-31,2026-01-31,98,0.5612244897959183,0.5624737945492662,0.24775510204081633,0.04285714285714292,0.3118175486852392,0.3845283668896407,0.9244291487779708,-0.857255650880991,52,0.5306122448979592,159.64795534046758,True,False,False,True,False,Low confidence,False,baseline
btc_research_20260504T051147Z,2026-05-04T05:11:47+00:00,90,sensitivity_overlapping_monthly,False,buy_hold_direction,5,2017-12-31,2026-01-31,98,0.5408163265306123,0.5,0.45010000000000006,0.4491836734693877,0.3037114623625,0.38275529007058195,1.0309138434692562,-0.9667167354701346,1,0.01020408163265306,314.8221880106303,False,False,False,True,False,Low confidence,False,baseline
btc_research_20260504T051147Z,2026-05-04T05:11:47+00:00,90,sensitivity_overlapping_monthly,False,random_permutation,6,2017-12-31,2026-01-31,98,0.5204081632653061,0.5146750524109014,0.25285905853204316,0.03530409448366059,0.27786431340973844,0.36387980829466887,0.6777279667575139,-0.926357696971587,54,0.5510204081632653,10.787501603610545,False,False,False,False,False,Low confidence,False,baseline
btc_research_20260504T051147Z,2026-05-04T05:11:47+00:00,90,sensitivity_overlapping_monthly,False,logistic_linear,7,2017-12-31,2026-01-31,98,0.4897959183673469,0.4729559748427673,0.28926587297224704,0.19622418368173547,0.30585577276101855,0.37832582225686273,1.0043077340834112,-0.839103036710285,15,0.15306122448979592,283.83755487734567,False,False,False,False,False,Low confidence,False,does not beat baselines after transaction costs; weak probability calibration
btc_research_20260504T051147Z,2026-05-04T05:11:47+00:00,180,diagnostic_semiannual,False,random_forest,1,2017-12-31,2025-05-23,16,0.75,0.7333333333333334,0.1335075709209213,0.13806037262050763,0.3134708676927274,0.39576585045017104,0.8071878011125544,-0.35253781616196767,3,0.1875,28.954678601327323,True,True,True,True,False,Low confidence,False,diagnostic only
btc_research_20260504T051147Z,2026-05-04T05:11:47+00:00,180,diagnostic_semiannual,False,buy_hold_direction,2,2017-12-31,2025-05-23,16,0.625,0.5,0.36760000000000004,0.365,0.4828470909824572,0.6149913737186272,0.5993307610153702,-0.6403283462233316,1,0.0625,5.582724875987676,False,True,True,True,False,Low confidence,False,baseline; diagnostic only
btc_research_20260504T051147Z,2026-05-04T05:11:47+00:00,180,diagnostic_semiannual,False,random_permutation,3,2017-12-31,2025-05-23,16,0.5625,0.55,0.23736219665842218,0.1473133288214533,0.47956095118126923,0.5407847765634815,0.5548810043745852,-0.3625397430767956,11,0.6875,5.3862069300676145,False,True,True,False,False,Low confidence,False,baseline; diagnostic only
btc_research_20260504T051147Z,2026-05-04T05:11:47+00:00,180,diagnostic_semiannual,False,hgb,4,2017-12-31,2025-05-23,16,0.5625,0.5166666666666666,0.26953874925682836,0.2877560957995319,0.5037689909479929,0.6551882734758394,0.4723674725393428,-0.3609026447215171,5,0.3125,1.947669124578923,False,True,True,False,False,Low confidence,False,diagnostic only; does not beat baselines after transaction costs; weak probability calibration
btc_research_20260504T051147Z,2026-05-04T05:11:47+00:00,180,diagnostic_semiannual,False,logistic_linear,5,2017-12-31,2025-05-23,16,0.5625,0.48333333333333334,0.2991884602039496,0.2223130042574141,0.5807843893550174,0.7285008669529253,0.4408932845325546,-0.6406880178771082,5,0.3125,1.3089488896968118,False,True,True,False,False,Low confidence,False,diagnostic only; does not beat baselines after transaction costs; weak probability calibration
btc_research_20260504T051147Z,2026-05-04T05:11:47+00:00,180,diagnostic_semiannual,False,momentum_90d,6,2017-12-31,2025-05-23,16,0.5,0.4666666666666667,0.26,0.09999999999999998,0.6022771472626846,0.8115489342051988,0.4440995305689842,-0.3625397430767955,9,0.5625,1.5773220048338024,False,True,False,False,False,Low confidence,False,baseline; diagnostic only
btc_research_20260504T051147Z,2026-05-04T05:11:47+00:00,180,diagnostic_semiannual,False,momentum_30d,7,2017-12-31,2025-05-23,16,0.4375,0.41666666666666663,0.2725,0.11250000000000004,0.5233753378260932,0.586001548646095,0.39573121888306445,-0.43990396030509993,9,0.5625,1.2721763282683338,False,False,False,False,False,Low confidence,False,baseline; diagnostic only
