date,cm_price_usd,cm_market_cap_usd,cm_mvrv,cm_active_addresses,cm_tx_count,cm_hash_rate,cm_fees_btc,cm_exchange_inflow_usd,cm_exchange_outflow_usd,cm_supply,cm_exchange_supply_usd,cm_spot_volume_usd,cm_roi_30d,cm_roi_1y
2015-03-24,246.835082992402,3450054626.3373647,0.8245462,220798,92642,401765.164144395,13.64461309,14626917.029190216,15065217.149501327,13977164.77136098,340845200.09207594,27789038.803369,4.28593773538921,-57.80764563230165
2015-03-25,246.719136762127,3449433239.2760797,0.82488492,226737,98232,376219.402262381,15.99877818,13711707.076634703,13754026.21750467,13981214.77136098,340642775.2013307,21801890.47521,3.201257546302347,-57.73701385555039
2015-03-26,249.532993571011,3489697647.733156,0.834809,232228,101438,343706.614412546,14.56791258,14424413.515740272,13657329.55535655,13984914.77136098,345294924.60486066,14985685.8679917,4.028749393687187,-56.92090759388012
2015-03-27,247.378898305085,3460630353.820043,0.82811622,229847,98363,397120.480165847,13.81915901,11653433.082982412,11501182.958634716,13989189.77136098,342466413.9416457,10664513.3356969,3.8377000106172177,-48.80022273027181
2015-03-28,253.23161396844,3543442060.8842163,0.84785463,237409,88943,343706.614412546,12.75612589,8901920.345521584,7493252.578566195,13992889.77136098,351977464.5665657,8321115.29445925,6.82876769438386,-49.217715658424105
2015-03-29,242.967614260666,3400748395.4846005,0.81383575,283051,91895,355318.324358916,13.15643078,8695146.205149993,8790756.5939594,13996714.77136098,337615481.44159186,12802070.3513277,-4.762195731267622,-50.365849894283855
2015-03-30,248.336934541204,3476782836.084996,0.83226724,256087,104131,329772.562476902,15.03876519,10666971.550627237,10593388.956481487,14000264.77136098,345149999.34205014,14302534.4504823,-2.593274861650813,-45.89212339953163
2015-03-31,244.712485680888,3426957264.2116175,0.82051756,266605,114677,348351.298391094,16.24634701,10410876.02755586,11850114.740992364,14004014.77136098,338673336.27583057,11479623.7621278,-6.115006231063569,-46.25900771757808
2015-04-01,247.185819403857,3462409579.406614,0.83080879,274206,120748,306549.142584163,17.08490971,9281546.984684626,10705719.342229532,14007314.77136098,340672169.41533154,11895192.3679791,-10.54448417547818,-48.39635684601476
2015-04-02,253.630070426651,3553728796.7408247,0.85233643,249771,109756,385508.770219477,15.38686564,11037495.148030749,10768896.347707557,14011464.77136098,349822252.52364147,13013814.7125779,-10.28483325332045,-42.22700891769917
2015-04-03,254.83316364699,3571516036.061579,0.85676268,240801,105958,339061.930433998,15.32740854,10177667.210977525,9856924.737359753,14015114.77136098,351802375.4470101,12341333.1032862,-6.807292220541333,-43.29999316142089
2015-04-04,253.945848626534,3560051556.9785414,0.85381712,243687,87605,355318.324358916,13.30258188,5686103.461053242,5308751.824662855,14018939.77095148,350954770.6158088,5185490.76961975,-8.080159543154322,-43.532437476012355
2015-04-05,261.112136177674,3661481425.4431505,0.87790912,271639,96521,361069.996691013,15.10136188,7506806.446949019,5471596.739339627,14022639.77095148,362893835.09119594,10115834.6765026,-4.465850598436446,-43.44247604926321
2015-04-06,256.367386908241,3595755072.903167,0.86213123,242694,105277,309707.170078885,15.77134239,9018051.906893292,8646686.064526364,14025789.77095148,356670944.97849274,10500590.4098941,-7.248815887783787,-44.10190320081816
2015-04-07,254.831898012858,3575186989.673343,0.85722526,269775,113215,373614.998825321,16.31382022,11320328.791212928,11351901.338263312,14029589.77095148,354503124.596158,8205299.87446611,-7.447621963125105,-43.200958023920066
2015-04-08,245.825210403273,3449595061.098264,0.82735719,253258,109348,307249.17666556,16.03771619,14200973.966751331,12768102.810400276,14032714.77095148,343406563.90054256,17881540.0165593,-15.270685421113942,-45.71035157292293
2015-04-09,243.860636177674,3422837587.9593616,0.82153081,250608,116464,326913.123972156,18.90110829,10844712.453576315,11506312.147139104,14036039.77095148,340000543.96125406,12499298.8041774,-16.577614744538984,-44.93231283784109
2015-04-10,235.871900642899,3311603691.496089,0.7967323,250196,109637,373614.998825321,27.3699549,9801949.499824582,9727242.098600844,14039839.77095148,328937027.2113396,16709507.9026004,-20.499762779316946,-35.71428932687244
2015-04-11,237.40906779661,3334016203.77265,0.80216867,270860,100196,344119.077865427,16.77592743,8292147.995599613,9221102.387430513,14043339.77095148,330151741.4484995,8273583.35957497,-19.740097688192584,-43.73439761434356
2015-04-12,237.141042372881,3331011083.015563,0.80176151,254516,86603,314623.156905534,14.04098606,6548553.444641196,5831577.505233434,14046539.77095148,330495989.16308475,5145953.34427465,-17.057748544571687,-44.1066566612515
