date,solana_tvl_usd
2022-12-12,293011161
2022-12-13,291961905
2022-12-14,294356351
2022-12-15,294430993
2022-12-16,294257635
2022-12-17,263482687
2022-12-18,262059709
2022-12-19,259387456
2022-12-20,258230899
2022-12-21,245493859
2022-12-22,245092130
2022-12-23,233793683
2022-12-24,223161058
2022-12-25,222585745
2022-12-26,222095244
2022-12-27,219605426
2022-12-28,217914558
2022-12-29,232157758
2022-12-30,211046695
2022-12-31,210349576
2023-01-01,210474937
2023-01-02,210076888
2023-01-03,217225786
2023-01-04,230793963
2023-01-05,232996701
2023-01-06,233888868
2023-01-07,233644901
2023-01-08,232866188
2023-01-09,247500415
2023-01-10,248508121
2023-01-11,246248696
2023-01-12,251287156
2023-01-13,250297875
2023-01-14,265348961
2023-01-15,283929539
2023-01-16,282770642
2023-01-17,278088563
2023-01-18,276355209
2023-01-19,256877714
2023-01-20,258352149
2023-01-21,275932479
2023-01-22,273394058
2023-01-23,271944752
2023-01-24,270234215
2023-01-25,264691879
2023-01-26,283305455
2023-01-27,253001157
2023-01-28,269074964
2023-01-29,266407540
2023-01-30,274436767
2023-01-31,262694671
2023-02-01,262638638
2023-02-02,269655191
2023-02-03,264221742
2023-02-04,266719447
2023-02-05,263572547
2023-02-06,262677929
2023-02-07,257706363
2023-02-08,262292967
2023-02-09,258288831
2023-02-10,245130116
2023-02-11,243878725
2023-02-12,244329991
2023-02-13,245851964
2023-02-14,244594225
2023-02-15,246291398
2023-02-16,256036512
2023-02-17,251607149
2023-02-18,257759057
2023-02-19,262109985
2023-02-20,264874777
2023-02-21,272330147
2023-02-22,269121963
2023-02-23,281951226
2023-02-24,252504137
2023-02-25,260760338
2023-02-26,258399655
2023-02-27,261344629
2023-02-28,259770178
2023-03-01,254358211
2023-03-02,257529711
2023-03-03,258060140
2023-03-04,255547984
2023-03-05,253713227
2023-03-06,252663573
2023-03-07,250601540
2023-03-08,247808351
2023-03-09,237498765
2023-03-10,232364537
2023-03-11,231311355
2023-03-12,224333797
2023-03-13,237218716
2023-03-14,239691350
2023-03-15,242327098
2023-03-16,239285612
2023-03-17,241522677
2023-03-18,251677090
2023-03-19,250391362
2023-03-20,251590404
2023-03-21,286070292
2023-03-22,284817521
2023-03-23,278879852
2023-03-24,276741416
2023-03-25,271851189
2023-03-26,271976710
2023-03-27,272116612
2023-03-28,267793331
2023-03-29,269585593
2023-03-30,272507029
2023-03-31,261096401
2023-04-01,280787892
2023-04-02,280095373
2023-04-03,278515899
2023-04-04,282105543
2023-04-05,286187753
2023-04-06,286484840
2023-04-07,283526677
2023-04-08,282774866
2023-04-09,282666214
2023-04-10,282685634
2023-04-11,283837309
2023-04-12,291434273
2023-04-13,293597999
2023-04-14,297455751
2023-04-15,297392428
2023-04-16,294448128
2023-04-17,297078918
2023-04-18,295641141
2023-04-19,295650993
2023-04-20,288372173
2023-04-21,280338325
2023-04-22,274835067
2023-04-23,276752859
2023-04-24,273979683
2023-04-25,273723414
2023-04-26,276603496
2023-04-27,276894249
2023-04-28,276521775
2023-04-29,278382920
2023-04-30,277815361
2023-05-01,276210934
2023-05-02,272810610
2023-05-03,271896336
2023-05-04,273901133
2023-05-05,271187388
2023-05-06,279132707
2023-05-07,273541818
2023-05-08,272443692
2023-05-09,267597883
2023-05-10,268194049
2023-05-11,267661799
2023-05-12,265743665
2023-05-13,269851475
2023-05-14,269947941
2023-05-15,270280253
2023-05-16,271830868
2023-05-17,270896119
2023-05-18,271130295
2023-05-19,269894384
2023-05-20,269200620
2023-05-21,269692389
2023-05-22,266997901
2023-05-23,266439302
2023-05-24,269675134
2023-05-25,266423781
2023-05-26,266104217
2023-05-27,266656375
2023-05-28,271250745
2023-05-29,272477034
2023-05-30,271083234
2023-05-31,273595910
2023-06-01,269167294
2023-06-02,265881722
2023-06-03,268463977
2023-06-04,269170303
2023-06-05,284493661
2023-06-06,277421670
2023-06-07,280503550
2023-06-08,271704983
2023-06-09,272964301
2023-06-10,264394127
2023-06-11,254570708
2023-06-12,252855825
2023-06-13,252347542
2023-06-14,251470823
2023-06-15,248922416
2023-06-16,247472215
2023-06-17,249692859
2023-06-18,251797642
2023-06-19,254803995
2023-06-20,254907732
2023-06-21,257890105
2023-06-22,261967220
2023-06-23,256644388
2023-06-24,261089578
2023-06-25,256756369
2023-06-26,258135509
2023-06-27,255489470
2023-06-28,254558885
2023-06-29,253888742
2023-06-30,263911581
2023-07-01,268673568
2023-07-02,270398301
2023-07-03,272581694
2023-07-04,274854417
2023-07-05,274474368
2023-07-06,276083170
2023-07-07,279527516
2023-07-08,286934886
2023-07-09,292032720
2023-07-10,289132370
2023-07-11,287267371
2023-07-12,291984923
2023-07-13,292446057
2023-07-14,325189730
2023-07-15,316155786
2023-07-16,315312252
2023-07-17,318827480
2023-07-18,320447252
2023-07-19,317326786
2023-07-20,320496581
2023-07-21,315525622
2023-07-22,315818280
2023-07-23,308240864
